,SIN,HAO,尼克,軒,海月,池,黑羊,洋蔥,DEAN,JOY,LIANG,轆,KEVIN,豬豬,雪怪,發達,黃某人,菜,LORI,大星,ED,午夜,VASH,TEN,豬羊,很乖,呂安,RAY
SIN,503,131.0,140.0,133.0,27.0,101.0,123.0,86.0,41.0,49.0,74.0,76.0,93.0,102.0,49.0,59.0,49.0,76.0,21.0,69.0,24.0,40.0,9.0,44.0,34.0,32.0,41.0,6.0
HAO,131.0,414.0,120.0,114.0,44.0,83.0,72.0,55.0,64.0,67.0,78.0,47.0,58.0,64.0,55.0,45.0,53.0,52.0,41.0,50.0,46.0,35.0,35.0,33.0,26.0,27.0,29.0,19.0
尼克,140.0,120.0,404.0,130.0,14.0,67.0,94.0,60.0,31.0,29.0,71.0,79.0,60.0,63.0,33.0,61.0,50.0,42.0,32.0,50.0,22.0,32.0,11.0,36.0,38.0,40.0,39.0,0.0
軒,133.0,114.0,130.0,425.0,1.0,71.0,89.0,84.0,17.0,19.0,92.0,70.0,78.0,74.0,26.0,70.0,49.0,54.0,38.0,64.0,7.0,56.0,1.0,43.0,33.0,45.0,35.0,0.0
海月,27.0,44.0,14.0,1.0,350.0,50.0,12.0,2.0,68.0,67.0,1.0,0.0,0.0,1.0,51.0,8.0,8.0,1.0,37.0,5.0,37.0,0.0,40.0,8.0,0.0,5.0,1.0,23.0
池,101.0,83.0,67.0,71.0,50.0,329.0,52.0,57.0,63.0,53.0,37.0,34.0,35.0,37.0,45.0,26.0,37.0,32.0,22.0,30.0,30.0,35.0,12.0,40.0,16.0,14.0,27.0,4.0
黑羊,123.0,72.0,94.0,89.0,12.0,52.0,320.0,64.0,16.0,13.0,50.0,40.0,46.0,62.0,26.0,30.0,46.0,55.0,21.0,37.0,13.0,32.0,0.0,52.0,26.0,25.0,17.0,1.0
洋蔥,86.0,55.0,60.0,84.0,2.0,57.0,64.0,283.0,11.0,10.0,61.0,22.0,49.0,43.0,27.0,35.0,49.0,10.0,22.0,57.0,6.0,31.0,1.0,29.0,16.0,29.0,34.0,1.0
DEAN,41.0,64.0,31.0,17.0,68.0,63.0,16.0,11.0,203.0,69.0,6.0,8.0,7.0,5.0,58.0,5.0,13.0,9.0,35.0,16.0,51.0,1.0,38.0,10.0,3.0,0.0,8.0,22.0
JOY,49.0,67.0,29.0,19.0,67.0,53.0,13.0,10.0,69.0,206.0,9.0,17.0,2.0,13.0,54.0,6.0,9.0,13.0,28.0,12.0,38.0,0.0,43.0,11.0,2.0,1.0,17.0,38.0
LIANG,74.0,78.0,71.0,92.0,1.0,37.0,50.0,61.0,6.0,9.0,267.0,42.0,46.0,32.0,16.0,43.0,42.0,31.0,24.0,43.0,7.0,33.0,0.0,34.0,47.0,28.0,35.0,1.0
轆,76.0,47.0,79.0,70.0,0.0,34.0,40.0,22.0,8.0,17.0,42.0,204.0,55.0,54.0,5.0,19.0,14.0,51.0,2.0,12.0,4.0,16.0,0.0,22.0,19.0,7.0,13.0,1.0
KEVIN,93.0,58.0,60.0,78.0,0.0,35.0,46.0,49.0,7.0,2.0,46.0,55.0,235.0,73.0,8.0,32.0,18.0,41.0,0.0,30.0,3.0,16.0,2.0,32.0,18.0,18.0,20.0,1.0
豬豬,102.0,64.0,63.0,74.0,1.0,37.0,62.0,43.0,5.0,13.0,32.0,54.0,73.0,236.0,3.0,23.0,8.0,52.0,1.0,14.0,4.0,12.0,1.0,32.0,13.0,5.0,0.0,0.0
雪怪,49.0,55.0,33.0,26.0,51.0,45.0,26.0,27.0,58.0,54.0,16.0,5.0,8.0,3.0,199.0,13.0,22.0,1.0,35.0,30.0,33.0,11.0,30.0,11.0,0.0,19.0,3.0,16.0
發達,59.0,45.0,61.0,70.0,8.0,26.0,30.0,35.0,5.0,6.0,43.0,19.0,32.0,23.0,13.0,199.0,34.0,8.0,10.0,30.0,4.0,34.0,0.0,4.0,12.0,30.0,37.0,0.0
黃某人,49.0,53.0,50.0,49.0,8.0,37.0,46.0,49.0,13.0,9.0,42.0,14.0,18.0,8.0,22.0,34.0,192.0,8.0,19.0,26.0,9.0,41.0,0.0,22.0,10.0,18.0,26.0,1.0
菜,76.0,52.0,42.0,54.0,1.0,32.0,55.0,10.0,9.0,13.0,31.0,51.0,41.0,52.0,1.0,8.0,8.0,160.0,0.0,8.0,5.0,4.0,0.0,10.0,8.0,2.0,0.0,0.0
LORI,21.0,41.0,32.0,38.0,37.0,22.0,21.0,22.0,35.0,28.0,24.0,2.0,0.0,1.0,35.0,10.0,19.0,0.0,161.0,27.0,17.0,15.0,27.0,3.0,6.0,17.0,0.0,23.0
大星,69.0,50.0,50.0,64.0,5.0,30.0,37.0,57.0,16.0,12.0,43.0,12.0,30.0,14.0,30.0,30.0,26.0,8.0,27.0,202.0,7.0,18.0,8.0,14.0,13.0,28.0,21.0,6.0
ED,24.0,46.0,22.0,7.0,37.0,30.0,13.0,6.0,51.0,38.0,7.0,4.0,3.0,4.0,33.0,4.0,9.0,5.0,17.0,7.0,134.0,5.0,24.0,3.0,2.0,6.0,3.0,26.0
午夜,40.0,35.0,32.0,56.0,0.0,35.0,32.0,31.0,1.0,0.0,33.0,16.0,16.0,12.0,11.0,34.0,41.0,4.0,15.0,18.0,5.0,150.0,1.0,7.0,10.0,21.0,7.0,0.0
VASH,9.0,35.0,11.0,1.0,40.0,12.0,0.0,1.0,38.0,43.0,0.0,0.0,2.0,1.0,30.0,0.0,0.0,0.0,27.0,8.0,24.0,1.0,101.0,0.0,0.0,0.0,0.0,29.0
TEN,44.0,33.0,36.0,43.0,8.0,40.0,52.0,29.0,10.0,11.0,34.0,22.0,32.0,32.0,11.0,4.0,22.0,10.0,3.0,14.0,3.0,7.0,0.0,157.0,21.0,4.0,14.0,0.0
豬羊,34.0,26.0,38.0,33.0,0.0,16.0,26.0,16.0,3.0,2.0,47.0,19.0,18.0,13.0,0.0,12.0,10.0,8.0,6.0,13.0,2.0,10.0,0.0,21.0,108.0,10.0,12.0,1.0
很乖,32.0,27.0,40.0,45.0,5.0,14.0,25.0,29.0,0.0,1.0,28.0,7.0,18.0,5.0,19.0,30.0,18.0,2.0,17.0,28.0,6.0,21.0,0.0,4.0,10.0,127.0,11.0,2.0
呂安,41.0,29.0,39.0,35.0,1.0,27.0,17.0,34.0,8.0,17.0,35.0,13.0,20.0,0.0,3.0,37.0,26.0,0.0,0.0,21.0,3.0,7.0,0.0,14.0,12.0,11.0,122.0,1.0
RAY,6.0,19.0,0.0,0.0,23.0,4.0,1.0,1.0,22.0,38.0,1.0,1.0,1.0,0.0,16.0,0.0,1.0,0.0,23.0,6.0,26.0,0.0,29.0,0.0,1.0,2.0,1.0,68.0
