隊長,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,結果,隊長,隊伍,其他資訊,文字紀錄,,,
1,🛡️,,,,,🛡️,,,🛡️,,,1.0,169,,169.0,169,,0
2,,🛡️,,,,,,🛡️,🛡️,,,2,289,,289.0,289,,0
3,,,🛡️,,,,🛡️,,,🛡️,,3,370,,370.0,370,,0
4,,,,🛡️,🛡️,,🛡️,,,,,4,457,,457.0,457,,0
5,🛡️,,,,🛡️,,,,🛡️,,,5,159,,159.0,159,,0
任務,,,,,,,,,,,oxx ,任務,oxx,,oxx,oxx,,1
6,,🛡️,,,,🛡️,,🛡️,,🛡️,,6,2680,,2680.0,2680,,1
7,,,🛡️,,,,🛡️,🛡️,,🛡️,,7,3780,,3780.0,3780,,1
8,,,🛡️,🛡️,,,🛡️,🛡️,,,,8,3478,,3478.0,3478,,1
9,,,🛡️,,,,🛡️,🛡️,🛡️,,,9,3789,,3789.0,3789,,1
0,,,🛡️,,,,🛡️,🛡️,,🛡️,,0,3780,,3780.0,3780,,1
任務,,,,,,,,,,,ooox ,任務,ooox,,ooox,ooox,,2
湖中,,,,,,,,,,,0>3 x,湖中,0>3,x,0>3 x,0>3,x,2
1,🛡️,,🛡️,🛡️,,,🛡️,,,,,1,1347,47-,1347 47-,1347,47-,2
2,,🛡️,,🛡️,,🛡️,,🛡️,,,,2,2468,48- 5+,2468 48- 5+,2468,48- 5+,2
3,,,🛡️,🛡️,,,🛡️,🛡️,,,,3,3478,48- 5+,3478 48- 5+,3478,48- 5+,2
4,,,,🛡️,,🛡️,🛡️,🛡️,,,,4,4678,,4678.0,4678,,2
任務,,,,,,,,,,,oooo ,任務,oooo,,oooo,oooo,,3
5,,🛡️,,🛡️,,🛡️,🛡️,🛡️,,,,5,24678,159+,24678 159+,24678,159+,3
任務,,,,,,,,,,,ooooo ,任務,ooooo,,ooooo,ooooo,,4
湖中,,,,,,,,,,,6>2 x,湖中,6>2,x,6>2 x,6>2,x,4
6,🛡️,,,🛡️,,🛡️,🛡️,🛡️,,,,6,14678,78- 5+,14678 78- 5+,14678,78- 5+,4
7,🛡️,,,🛡️,,🛡️,🛡️,🛡️,,,,7,14678,,14678.0,14678,,4
8,🛡️,,,🛡️,,🛡️,🛡️,🛡️,,,,8,14678,30+,14678 30+,14678,30+,4
,,,,,,,,,,,,9,,,,,,4
,,,,,,,,,,,,0,,,,,,4
,,,,,,,,,,,,1,,,,,,4
,,,,,,,,,,,,2,,,,,,4
,,,,,,,,,,,,3,,,,,,4
,,,,,,,,,,,,4,,,,,,4
,,,,,,,,,,,,5,,,,,,4
,,,,,,,,,,,,6,,,,,,4
,,,,,,,,,,,,,,,,,,4
